age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,,,
25,11,"prishtina, kosovo",albanian6,albanian,female,1081,kosovo,FALSE,,,
45,11,"prishtina, kosovo",albanian7,albanian,female,1403,kosovo,FALSE,,,
43,9,"prishtina, kosovo",albanian8,albanian,female,1404,kosovo,FALSE,,,
22,6,"tirana, albania",albanian9,albanian,female,1706,albania,FALSE,,,
37,32,"tata, morocco",amazigh1,amazigh,male,601,morocco,FALSE,,,
39,16,"ouarzazat, morocco",amazigh2,amazigh,male,1498,morocco,FALSE,,,
20,5,"addis ababa, ethiopia",amharic1,amharic,female,6,ethiopia,FALSE,,,
29,19,"gonder, ethiopia",amharic10,amharic,female,998,ethiopia,FALSE,,,
24,17,"addis ababa, ethiopia",amharic11,amharic,female,1129,ethiopia,FALSE,,,
26,15,"addis ababa, ethiopia",amharic12,amharic,female,1130,ethiopia,FALSE,,,
28,6,"addis ababa, ethiopia",amharic13,amharic,female,1131,ethiopia,FALSE,,,
31,12,"addis ababa, ethiopia",amharic14,amharic,male,1515,ethiopia,FALSE,,,
23,6,"addis ababa, ethiopia",amharic15,amharic,male,1516,ethiopia,FALSE,,,
36,11,"werder, ethiopia",amharic16,amharic,male,1854,ethiopia,FALSE,,,
21,9,"addis ababa, ethiopia",amharic17,amharic,male,1906,ethiopia,FALSE,,,
20,2,"addis ababa, ethiopia",amharic18,amharic,female,2017,ethiopia,FALSE,,,
19,10,"tefki, ethiopia",amharic19,amharic,female,2132,ethiopia,FALSE,,,
23,7,"arba minch, ethiopia",amharic2,amharic,male,7,ethiopia,FALSE,,,
52,24,"addis ababa, ethiopia",amharic20,amharic,female,2135,ethiopia,FALSE,,,
27,8,"addis ababa, ethiopia",amharic3,amharic,male,8,ethiopia,FALSE,,,
20,7,"addis ababa, ethiopia",amharic4,amharic,male,9,ethiopia,FALSE,,,
31,7,"addis ababa, ethiopia",amharic5,amharic,male,10,ethiopia,FALSE,,,
31,4,"addis ababa, ethiopia",amharic6,amharic,female,985,ethiopia,FALSE,,,
38,13,"addis ababa, ethiopia",amharic7,amharic,male,989,ethiopia,FALSE,,,
30,12,"addis ababa, ethiopia",amharic8,amharic,female,990,ethiopia,FALSE,,,
40,12,"addis ababa, ethiopia",amharic9,amharic,male,991,ethiopia,FALSE,,,
38,12,"riyadh, saudi arabia",arabic1,arabic,female,11,saudi arabia,FALSE,,,
26,5,"cairo, egypt",arabic10,arabic,male,12,egypt,FALSE,,,
40,10,"beirut, lebanon",arabic100,arabic,female,2159,lebanon,FALSE,,,
21,10,"doha, qatar",arabic101,arabic,male,2160,qatar,FALSE,,,
22,3,"jiddah, saudi arabia",arabic102,arabic,male,2161,saudi arabia,FALSE,,,
30,14,"monastir, tunisia",arabic11,arabic,female,13,tunisia,FALSE,,,
32,11,"baghdad, iraq",arabic12,arabic,male,14,iraq,FALSE,,,
25,15,"zabbougha, lebanon",arabic13,arabic,male,15,lebanon,FALSE,,,
47,11,"amman, jordan",arabic14,arabic,male,428,jordan,FALSE,,,
40,33,"qayrawan, tunisia",arabic15,arabic,male,437,tunisia,FALSE,,,
22,16,"meknes, morocco",arabic16,arabic,male,471,morocco,FALSE,,,
35,15,"settat, morocco",arabic17,arabic,male,512,morocco,FALSE,,,
18,6,"kuwait city, kuwait",arabic18,arabic,male,539,kuwait,FALSE,,,
43,18,"khouribga, morocco",arabic19,arabic,male,625,morocco,FALSE,,,
18,2.5,"damascus, syria",arabic2,arabic,male,16,syria,FALSE,,,
36,12,"chtaura, beqa valley, lebanon",arabic20,arabic,male,643,lebanon,FALSE,,,
46,30,"beirut, lebanon",arabic21,arabic,female,670,lebanon,FALSE,,,
23,10,"abu dhabi, united arab emirates",arabic22,arabic,female,920,united arab emirates,FALSE,,,
42,13,"al mahalla, egypt",arabic23,arabic,male,927,egypt,FALSE,,,
40,7,"cairo, egypt",arabic24,arabic,male,970,egypt,FALSE,,,
38,5,"ramun, israel (occupied territory)",arabic25,arabic,male,1011,israel (occupied territory),FALSE,,,
43,14,"amman, jordan",arabic26,arabic,female,1012,jordan,FALSE,,,
70,10,"jerusalem, israel",arabic27,arabic,male,1013,israel,FALSE,,,
30,12,"al-ayn, united arab emirates",arabic28,arabic,male,1115,united arab emirates,FALSE,,,
19,17,"doha, qatar",arabic29,arabic,male,1116,qatar,FALSE,,,
24,9,"doha, qatar",arabic3,arabic,male,17,qatar,FALSE,,,
19,8,"riyadh, saudi arabia",arabic30,arabic,female,1133,saudi arabia,FALSE,,,
47,12,"baghdad, iraq",arabic31,arabic,female,1181,iraq,FALSE,,,
42,12,"baghdad, iraq",arabic32,arabic,male,1203,iraq,FALSE,,,
28,11,"baghdad, iraq",arabic33,arabic,female,1204,iraq,FALSE,,,
34,6,"kuwait city, kuwait",arabic34,arabic,female,1253,kuwait,FALSE,,,
56,16,"jiddah, saudi arabia",arabic35,arabic,male,1391,saudi arabia,FALSE,,,
36,6,"jiddah, saudi arabia",arabic36,arabic,male,1392,saudi arabia,FALSE,,,
18,16,"jiddah, saudi arabia",arabic37,arabic,male,1393,saudi arabia,FALSE,,,
19,9,"shady grove, maryland, usa",arabic38,arabic,female,1394,usa,FALSE,,,
22,5,"jiddah, saudi arabia",arabic39,arabic,male,1405,saudi arabia,FALSE,,,
19,6,"sharjah, united arab emirates",arabic4,arabic,male,18,united arab emirates,FALSE,,,
19,13,"jiddah, saudi arabia",arabic40,arabic,male,1420,saudi arabia,FALSE,,,
25,7,"riyadh, saudi arabia",arabic41,arabic,male,1421,saudi arabia,FALSE,,,
21,13,"jiddah, saudi arabia",arabic42,arabic,male,1422,saudi arabia,FALSE,,,
29,8,"beirut, lebanon",arabic43,arabic,female,1426,lebanon,FALSE,,,
29,7,"jiddah, saudi arabia",arabic44,arabic,female,1455,saudi arabia,FALSE,,,
32,12,"fort collins, colorado, usa",arabic45,arabic,female,1456,usa,FALSE,,,
28,13,"jiddah, saudi arabia",arabic46,arabic,male,1457,saudi arabia,FALSE,,,
39,16,"jiddah, saudi arabia",arabic47,arabic,male,1458,saudi arabia,FALSE,,,
29,12,"mecca, saudi arabia",arabic48,arabic,male,1459,saudi arabia,FALSE,,,
26,8,"medina, saudi arabia",arabic49,arabic,male,1460,saudi arabia,FALSE,,,
19,15,"casablanca, morocco",arabic5,arabic,female,19,morocco,FALSE,,,
36,22,"jiddah, saudi arabia",arabic50,arabic,male,1461,saudi arabia,FALSE,,,
23,12,"jiddah, saudi arabia",arabic51,arabic,male,1486,saudi arabia,FALSE,,,
21,9,"jiddah, saudi arabia",arabic52,arabic,female,1487,saudi arabia,FALSE,,,
36,17,"rabat, morocco",arabic53,arabic,male,1526,morocco,FALSE,,,
22,7,"baghdad, iraq",arabic54,arabic,male,1565,iraq,FALSE,,,
70,33,"beirut, lebanon",arabic55,arabic,male,1569,lebanon,FALSE,,,
43,12,"ain defla, algeria",arabic56,arabic,male,1677,algeria,FALSE,,,
28,17,"beirut, lebanon",arabic57,arabic,female,1699,lebanon,FALSE,,,
34,9,"baghdad, iraq",arabic58,arabic,male,1700,iraq,FALSE,,,
55,9,"irbid, jordan",arabic59,arabic,male,1702,jordan,FALSE,,,
21,14.5,"sanaa, yemen",arabic6,arabic,male,20,yemen,FALSE,,,
60,14,"cairo, egypt",arabic60,arabic,male,1711,egypt,FALSE,,,
20,7,"manama, bahrain",arabic61,arabic,male,1753,bahrain,FALSE,,,
19,18,"ad dammam, saudi arabia",arabic62,arabic,male,1768,saudi arabia,FALSE,,,
28,10,"bani walid, libya",arabic63,arabic,female,1769,libya,FALSE,,,
23,6,"riyadh, saudi arabia",arabic64,arabic,male,1777,saudi arabia,FALSE,,,
32,10,"samail, oman",arabic65,arabic,female,1778,oman,FALSE,,,
50,14,"medina, saudi arabia",arabic66,arabic,male,1784,saudi arabia,FALSE,,,
43,22,"nasriah, iraq",arabic67,arabic,male,1785,iraq,FALSE,,,
20,6,"london, uk",arabic68,arabic,male,1805,uk,FALSE,,,
55,15,"kerma, sudan",arabic69,arabic,female,1810,sudan,FALSE,,,
18,15,"casablanca, morocco",arabic7,arabic,female,21,morocco,FALSE,,,
47,16,"casablanca, morocco",arabic70,arabic,male,1827,morocco,FALSE,,,
29,21,"kuwait city, kuwait",arabic71,arabic,female,1828,kuwait,FALSE,,,
20,11,"baghdad, iraq",arabic72,arabic,female,1832,iraq,FALSE,,,
47,7,"nazareth, israel",arabic73,arabic,female,1841,israel,FALSE,,,
18,4,"alexandria, egypt",arabic74,arabic,male,1870,egypt,FALSE,,,
26,2,"riyadh, saudi arabia",arabic75,arabic,female,1885,saudi arabia,FALSE,,,
25,4,"jiddah, saudi arabia",arabic76,arabic,male,1892,saudi arabia,FALSE,,,
18,4,"ad dammam, saudi arabia",arabic77,arabic,female,1894,saudi arabia,FALSE,,,
19,3,"washington, district of columbia, usa",arabic78,arabic,female,1897,usa,FALSE,,,
24,13,"medina, saudi arabia",arabic79,arabic,female,1899,saudi arabia,FALSE,,,
21,17,"casablanca, morocco",arabic8,arabic,male,22,morocco,FALSE,,,
25,11,"najran, saudi arabia",arabic80,arabic,male,1901,saudi arabia,FALSE,,,
22,17,"riyadh, saudi arabia",arabic81,arabic,male,1914,saudi arabia,FALSE,,,
42,12,"damascus, syria",arabic82,arabic,male,1917,syria,FALSE,,,
22,21,"riyadh, saudi arabia",arabic83,arabic,male,1920,saudi arabia,FALSE,,,
26,12,"medina, saudi arabia",arabic84,arabic,female,1927,saudi arabia,FALSE,,,
24,14,"ad dammam, saudi arabia",arabic85,arabic,female,1963,saudi arabia,FALSE,,,
28,3,"cairo, egypt",arabic86,arabic,male,1964,egypt,FALSE,,,
49,10,"kuwait city, kuwait",arabic87,arabic,female,2005,kuwait,FALSE,,,
19,4,"beirut, lebanon",arabic88,arabic,female,2008,lebanon,FALSE,,,
35,19,"baghdad, iraq",arabic89,arabic,female,2022,iraq,FALSE,,,
28,4,"jerusalem, israel",arabic9,arabic,female,23,israel,FALSE,,,
23,12,"tripoli, libya",arabic90,arabic,female,2036,libya,FALSE,,,
57,12,"riyadh, saudi arabia",arabic91,arabic,female,2086,saudi arabia,FALSE,,,
36,10,"baghdad, iraq",arabic92,arabic,male,2087,iraq,FALSE,,,
27,10,"baghdad, iraq",arabic93,arabic,female,2112,iraq,FALSE,,,
24,9,"abu dhabi, united arab emirates",arabic94,arabic,female,2114,united arab emirates,FALSE,,,
31,10,"kuwait city, kuwait",arabic95,arabic,female,2143,kuwait,FALSE,,,
21,7,"riyadh, saudi arabia",arabic96,arabic,male,2153,saudi arabia,FALSE,,,
19,4,"sharjah, united arab emirates",arabic97,arabic,female,2154,united arab emirates,FALSE,,,
19,4,"ras al khaimah, united arab emirates",arabic98,arabic,female,2155,united arab emirates,FALSE,,,
25,16,"ad dammam, saudi arabia",arabic99,arabic,female,2157,saudi arabia,FALSE,,,
19,9,"yerevan, armenia",armenian1,armenian,female,24,armenia,FALSE,,,
44,7,"tehran, iran",armenian2,armenian,female,435,iran,FALSE,,,
54,12,"yerevan, armenia",armenian3,armenian,female,849,armenia,FALSE,,,
27,12,"tbilisi, republic of georgia",armenian4,armenian,female,947,republic of georgia,FALSE,,,
21,15,"yerevan, armenia",armenian5,armenian,female,997,armenia,FALSE,,,
23,11,"armavir, russia",armenian6,armenian,male,1228,russia,FALSE,,,
31,10,"tehran, iran",armenian7,armenian,male,1505,iran,FALSE,,,
50,35,"yerevan, armenia",armenian8,armenian,female,1710,armenia,FALSE,,,
42,1,"accra, ghana",ashanti1,ashanti,female,1977,ghana,FALSE,,,
24,14,"naxcivan, azerbaijan",azerbaijani1,azerbaijani,male,25,azerbaijan,FALSE,,,
42,40,"baku, azerbaijan",azerbaijani2,azerbaijani,female,434,azerbaijan,FALSE,,,
31,16,"baku, azerbaijan",azerbaijani3,azerbaijani,male,1791,azerbaijan,FALSE,,,
40,30,"douala, cameroon",bafang1,bafang,male,26,cameroon,FALSE,,,
38,6,"douala, cameroon",bafang2,bafang,male,992,cameroon,FALSE,,,
31,29,"conakry, guinea",baga1,baga,male,27,guinea,FALSE,,,
43,40,"jianchuan, yunnan, china",bai1,bai,female,28,china,FALSE,,,
15.5,12,"bamako, mali",bambara1,bambara,female,29,mali,FALSE,,,
26,18,"bamako, mali",bambara2,bambara,female,30,mali,FALSE,,,
22,12,"bamako, mali",bambara3,bambara,male,413,mali,FALSE,,,
26,14,"goudiri, senegal",bambara4,bambara,male,787,senegal,FALSE,,,
23,21,"segou, mali",bambara5,bambara,female,969,mali,FALSE,,,
31,15,"foumban, cameroon",bamun1,bamun,female,31,cameroon,FALSE,,,
34,6,"khartoum, sudan",bari1,bari,male,1029,sudan,FALSE,,,
36,7,"khartoum, sudan",bari2,bari,male,1030,sudan,FALSE,,,
69,34,"vizcaya, spain",basque1,basque,female,32,spain,FALSE,,,
50,19,"guernica, spain",basque2,basque,male,33,spain,FALSE,,,
54,10,"erding, bavaria, germany",bavarian1,bavarian,female,687,germany,FALSE,,,
52,10,"berchtesgaden, germany",bavarian2,bavarian,female,1045,germany,FALSE,,,
25,11,"chamiancy, vilejka, belarus",belarusan1,belarusan,male,417,belarus,FALSE,,,
43,12,"minsk, belarus",belarusan2,belarusan,female,650,belarus,FALSE,,,
18,6,"gomel, belarus",belarusan3,belarusan,male,2166,belarus,FALSE,,,
23,16,"dhaka, bangladesh",bengali1,bengali,male,34,bangladesh,FALSE,,,
18,3,"dhaka, bangladesh",bengali10,bengali,female,1009,bangladesh,FALSE,,,
34,3.5,"durgapur, west bengal, india",bengali11,bengali,male,1018,india,FALSE,,,
25,4,"sylhet, bangladesh",bengali12,bengali,female,1682,bangladesh,FALSE,,,
33,10,"dhaka, bangladesh",bengali13,bengali,female,1825,bangladesh,FALSE,,,
26,4,"kolkata, india",bengali14,bengali,male,1973,india,FALSE,,,
46,8,"dhaka, bangladesh",bengali15,bengali,female,2004,bangladesh,FALSE,,,
24,6,"dhaka, bangladesh",bengali16,bengali,female,2073,bangladesh,FALSE,,,
19,6,"sylhet, bangladesh",bengali17,bengali,female,2139,bangladesh,FALSE,,,
25,2,"lusaka, zambia",bengali2,bengali,female,35,zambia,FALSE,,,
19,5,"dhaka, bangladesh",bengali3,bengali,female,36,bangladesh,FALSE,,,
24,6,"chittagong, bangladesh",bengali4,bengali,male,37,bangladesh,FALSE,,,
40,5,"dhaka, bangladesh",bengali5,bengali,female,622,bangladesh,FALSE,,,
29,4,"jamshedpur, jharkhand, india",bengali6,bengali,male,624,india,FALSE,,,
49,6,"mymensingh, bangladesh",bengali7,bengali,male,710,bangladesh,FALSE,,,
54,5,"noakhali, bangladesh",bengali8,bengali,male,709,bangladesh,FALSE,,,
61,12,"kolkata, india",bengali9,bengali,female,987,india,FALSE,,,
39,37,"doboj, bosnia and herzegovina",bosnian1,bosnian,male,38,bosnia and herzegovina,FALSE,,,
21,10,"sarajevo, bosnia and herzegovina",bosnian2,bosnian,male,39,bosnia and herzegovina,FALSE,,,
25,12,"sarajevo, bosnia and herzegovina",bosnian3,bosnian,female,808,bosnia and herzegovina,FALSE,,,
20,11,"travnik, bosnia and herzegovina",bosnian4,bosnian,male,943,bosnia and herzegovina,FALSE,,,
25,6,"travnik, bosnia and herzegovina",bosnian5,bosnian,female,944,bosnia and herzegovina,FALSE,,,
29,22,"zenica, bosnia and herzegovina",bosnian6,bosnian,female,1025,bosnia and herzegovina,FALSE,,,
24,10,"gornji vakuf, bosnia and herzegovina",bosnian7,bosnian,female,1058,bosnia and herzegovina,FALSE,,,
24,15,"sarajevo, bosnia and herzegovina",bosnian8,bosnian,female,1082,bosnia and herzegovina,FALSE,,,
47,5,"sarajevo, bosnia and herzegovina",bosnian9,bosnian,male,1289,bosnia and herzegovina,FALSE,,,
25,16,"plovdiv, bulgaria",bulgarian1,bulgarian,female,40,bulgaria,FALSE,,,
21,15,"dobrich, bulgaria",bulgarian10,bulgarian,female,965,bulgaria,FALSE,,,
24,16,"dobrich, bulgaria",bulgarian11,bulgarian,male,966,bulgaria,FALSE,,,
30,9,"sofia, bulgaria",bulgarian12,bulgarian,female,1446,bulgaria,FALSE,,,
20,9,"chirpan, bulgaria",bulgarian13,bulgarian,male,1512,bulgaria,FALSE,,,
46,30,"sofia, bulgaria",bulgarian14,bulgarian,male,1611,bulgaria,FALSE,,,
22,10,"varna, bulgaria",bulgarian15,bulgarian,male,1859,bulgaria,FALSE,,,
21,6,"kyustendil, bulgaria",bulgarian16,bulgarian,male,1880,bulgaria,FALSE,,,
31,9,"sofia, bulgaria",bulgarian17,bulgarian,female,1915,bulgaria,FALSE,,,
20,10,"razlog, bulgaria",bulgarian18,bulgarian,male,2024,bulgaria,FALSE,,,
53,42,"sofia, bulgaria",bulgarian2,bulgarian,female,41,bulgaria,FALSE,,,
27,10,"sofia, bulgaria",bulgarian3,bulgarian,male,42,bulgaria,FALSE,,,
22,20,"plovdiv, bulgaria",bulgarian4,bulgarian,male,43,bulgaria,FALSE,,,
23,14,"sofia, bulgaria",bulgarian5,bulgarian,male,44,bulgaria,FALSE,,,
27,11,"ruse, bulgaria",bulgarian6,bulgarian,male,557,bulgaria,FALSE,,,
18,13,"stara zagora, bulgaria",bulgarian7,bulgarian,male,566,bulgaria,FALSE,,,
31,8,"sofia, bulgaria",bulgarian8,bulgarian,female,848,bulgaria,FALSE,,,
31,10,"ruse, bulgaria",bulgarian9,bulgarian,female,923,bulgaria,FALSE,,,
35,11,"yangon, myanmar",burmese1,burmese,female,758,myanmar,FALSE,,,
29,7,"yangon, myanmar",burmese2,burmese,male,1568,myanmar,FALSE,,,
22,12,"hong kong, china",cantonese1,cantonese,female,45,china,FALSE,,,
25,3,"xiamen, fujian, china",cantonese10,cantonese,female,505,china,FALSE,,,
22,3,"hong kong, china",cantonese11,cantonese,female,544,china,FALSE,,,
20,4,"macau, china",cantonese12,cantonese,female,602,china,FALSE,,,
21,3,"hong kong, china",cantonese13,cantonese,female,730,china,FALSE,,,
19,3,"hong kong, china",cantonese14,cantonese,female,742,china,FALSE,,,
31,12,"qingyuan, guangdong, china",cantonese15,cantonese,female,862,china,FALSE,,,
29,3,"hong kong, china",cantonese16,cantonese,female,874,china,FALSE,,,
26,3,"hong kong, china",cantonese17,cantonese,female,878,china,FALSE,,,
19,3,"hong kong, china",cantonese18,cantonese,male,885,china,FALSE,,,
28,7,"hong kong, china",cantonese19,cantonese,female,1247,china,FALSE,,,
20,13,"hong kong, china",cantonese2,cantonese,male,46,china,FALSE,,,
18,3,"hong kong, china",cantonese20,cantonese,male,1480,china,FALSE,,,
18,4,"hong kong, china",cantonese21,cantonese,female,1558,china,FALSE,,,
30,3,"hong kong, china",cantonese22,cantonese,female,1974,china,FALSE,,,
33,6,"hong kong, china",cantonese23,cantonese,male,1975,china,FALSE,,,
22,6,"hong kong, china",cantonese3,cantonese,male,47,china,FALSE,,,
29,13,"fuzhou, fujian, china",cantonese4,cantonese,female,48,china,FALSE,,,
18,14,"hong kong, china",cantonese5,cantonese,male,49,china,FALSE,,,
25,5,"hong kong, china",cantonese6,cantonese,male,462,china,FALSE,,,
31,4,"hong kong, china",cantonese7,cantonese,male,494,china,FALSE,,,
23,2,"hong kong, china",cantonese8,cantonese,female,498,china,FALSE,,,
22,7,"hong kong, china",cantonese9,cantonese,male,502,china,FALSE,,,
32,6,"saipan, saipan, northern mariana islands",carolinian1,carolinian,female,50,northern mariana islands,FALSE,,,
39,13,"tarragona, spain",catalan1,catalan,male,51,spain,FALSE,,,
24,21,"mataro, catalonia, spain",catalan2,catalan,male,598,spain,FALSE,,,
51,11,"santiago, chile",catalan3,catalan,female,1186,chile,FALSE,,,
21,11,"barcelona, spain",catalan4,catalan,female,1414,spain,FALSE,,,
21,1,"cebu, philippines",cebuano1,cebuano,female,565,philippines,FALSE,,,
41,5,"baghdad, iraq",chaldean1,chaldean,male,1251,iraq,FALSE,,,
62,11,"baghdad, iraq",chaldean2,chaldean,female,1299,iraq,FALSE,,,
18,1,"saipan, saipan, northern mariana islands",chamorro1,chamorro,male,52,northern mariana islands,FALSE,,,
42,7,"mulanje, malawi",chichewa1,chichewa,male,1020,malawi,FALSE,,,
39,12,"chittagong, bangladesh",chittagonian1,chittagonian,male,708,bangladesh,FALSE,,,
81,16,"unije, croatia",croatian1,croatian,female,477,croatia,FALSE,,,
35,10,"mostar, bosnia and herzegovina",croatian2,croatian,female,561,bosnia and herzegovina,FALSE,,,
44,10,"split, croatia",croatian3,croatian,female,661,croatia,FALSE,,,
38,11,"rijeka, croatia",croatian4,croatian,male,950,croatia,FALSE,,,
26,11,"tomislavgrad, bosnia and herzegovina",croatian5,croatian,female,1063,bosnia and herzegovina,FALSE,,,
23,14,"doboj, bosnia and herzegovina",croatian6,croatian,female,1083,bosnia and herzegovina,FALSE,,,
21,7,"rijeka, croatia",croatian7,croatian,female,1556,croatia,FALSE,,,
39,22,"gospic, croatia",croatian8,croatian,male,1983,croatia,FALSE,,,
27,10.5,"prague, czech republic",czech1,czech,female,53,czech republic,FALSE,,,
60,45,"velky osek, czech republic",czech2,czech,male,560,czech republic,FALSE,,,
35,14,"nachod, czech republic",czech3,czech,male,653,czech republic,FALSE,,,
57,15,"prague, czech republic",czech4,czech,female,879,czech republic,FALSE,,,
26,16,"klando, czech republic",czech5,czech,female,1066,czech republic,FALSE,,,
20,7,"ostrava, czech republic",czech6,czech,male,1248,czech republic,FALSE,,,
22,11,"ostrava, czech republic",czech7,czech,female,1501,czech republic,FALSE,,,
21,7,"pizen, czech republic",czech8,czech,female,1822,czech republic,FALSE,,,
38,23,"prague, czech republic",czech9,czech,male,2140,czech republic,FALSE,,,
45,11,"horsens, denmark",danish1,danish,female,54,denmark,FALSE,,,
37,8,"haslev, denmark",danish2,danish,female,55,denmark,FALSE,,,
53,12,"copenhagen, denmark",danish3,danish,female,1367,denmark,FALSE,,,
21,11,"aarhus, denmark",danish4,danish,female,1434,denmark,FALSE,,,
49,8,"egvad, denmark",danish5,danish,female,1573,denmark,FALSE,,,
19,8,"alborg, denmark",danish6,danish,male,1577,denmark,FALSE,,,
22,8,"copenhagen, denmark",danish7,danish,male,1717,denmark,FALSE,,,
28,11,"sunds, denmark",danish8,danish,female,1746,denmark,FALSE,,,
25,13,"kabul, zoroastrian, afghanistan",dari1,dari,female,56,afghanistan,FALSE,,,
55,12,"kabul, afghanistan",dari2,dari,male,642,afghanistan,FALSE,,,
20,12,"kabul, afghanistan",dari3,dari,male,968,afghanistan,FALSE,,,
59,13,"kabul, afghanistan",dari4,dari,male,1754,afghanistan,FALSE,,,
56,32,"kabul, afghanistan",dari5,dari,female,1868,afghanistan,FALSE,,,
39,33,"rumbek, boherat, sudan",dinka1,dinka,male,415,sudan,FALSE,,,
38,13,"nijmegen, netherlands",dutch1,dutch,male,57,netherlands,FALSE,,,
39,12,"essen, belgium",dutch10,dutch,male,913,belgium,FALSE,,,
41,14,"brugge, belgium",dutch11,dutch,male,929,belgium,FALSE,,,
36,10,"oosterbeek, netherlands",dutch12,dutch,male,956,netherlands,FALSE,,,
33,10,"zwolle, netherlands",dutch13,dutch,female,1003,netherlands,FALSE,,,
35,12,"zwolle, netherlands",dutch14,dutch,female,1004,netherlands,FALSE,,,
23,10,"nunspeet, netherlands",dutch15,dutch,male,1223,netherlands,FALSE,,,
23,12,"antwerp, belgium",dutch16,dutch,female,1260,belgium,FALSE,,,
21,12,"wilrijk, belgium",dutch17,dutch,female,1261,belgium,FALSE,,,
23,14,"antwerp, belgium",dutch18,dutch,male,1262,belgium,FALSE,,,
22,11,"heist-op-den-berg, belgium",dutch19,dutch,female,1263,belgium,FALSE,,,
41,14,"amsterdam, netherlands",dutch2,dutch,male,58,netherlands,FALSE,,,
21,13,"vlaams-brabant, belgium",dutch20,dutch,female,1264,belgium,FALSE,,,
21,13,"diest, belgium",dutch21,dutch,female,1265,belgium,FALSE,,,
23,13,"essen, belgium",dutch22,dutch,female,1266,belgium,FALSE,,,
